Document Name: 2021.05.12_CDCvCERES1_MYC2.sds 
Plate Type: Standard Curve
User: INSTR-ADMIN

Document Information

Operator: Administrator
Run Date: Wednesday, May 12, 2021 12:04:31
Last Modified: Wednesday, May 12, 2021 15:40:10
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
B5,CDC 300 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
B6,CDC 300 III,N1 Probe,Unknown,34.7694,-999.9,,,,,,,,
B7,CDC 300 I,N2 Probe,Unknown,31.5233,0.167-999.9,,,,,,,,
B8,CDC 300 I,N2 Probe,Unknown,31.2865,0.167-999.9,,,,,,,,
B9,CDC 300 II,N2 Probe,Unknown,34.8512,0.188-999.9,,,,,,,,
B10,CDC 300 II,N2 Probe,Unknown,34.5856,0.188-999.9,,,,,,,,
B11,CDC 300 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
B12,CDC 300 III,N2 Probe,Unknown,37.8612,-999.9,,,,,,,,
C1,CERES 300 I,N1 Probe,Unknown,29.3065,0.133-999.9,,,,,,,,
C2,CERES 300 I,N1 Probe,Unknown,29.118,0.133-999.9,,,,,,,,
C3,CERES 300 II,N1 Probe,Unknown,33.0885,0.264-999.9,,,,,,,,
C4,CERES 300 II,N1 Probe,Unknown,33.4621,0.264-999.9,,,,,,,,
C5,CERES 300  III,N1 Probe,Unknown,Undetermined,,,,,,,,,
C6,CERES 300  III,N1 Probe,Unknown,Undetermined,,,,,,,,,
C7,CERES 300 I,N2 Probe,Unknown,31.2867,0.13-999.9,,,,,,,,
C8,CERES 300 I,N2 Probe,Unknown,31.1029,0.13-999.9,,,,,,,,
C9,CERES 300 II,N2 Probe,Unknown,34.3306,0.339-999.9,,,,,,,,
C10,CERES 300 II,N2 Probe,Unknown,33.8511,0.339-999.9,,,,,,,,
C11,CERES 300  III,N2 Probe,Unknown,37.1759,0.819-999.9,,,,,,,,
C12,CERES 300  III,N2 Probe,Unknown,38.3348,0.819-999.9,,,,,,,,
D1,CERES 1000 I,N1 Probe,Unknown,Undetermined,,,,,,,,,
D2,CERES 1000 I,N1 Probe,Unknown,Undetermined,,,,,,,,,
D3,CERES 1000 II,N1 Probe,Unknown,Undetermined,,,,,,,,,
D4,CERES 1000 II,N1 Probe,Unknown,Undetermined,,,,,,,,,
D5,CERES 1000 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
D6,CERES 1000 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
D7,CERES 1000 I,N2 Probe,Unknown,Undetermined,,,,,,,,,
D8,CERES 1000 I,N2 Probe,Unknown,Undetermined,,,,,,,,,
D9,CERES 1000 II,N2 Probe,Unknown,Undetermined,,,,,,,,,
D10,CERES 1000 II,N2 Probe,Unknown,Undetermined,,,,,,,,,
D11,CERES 1000 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
D12,CERES 1000 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
E1,CERES BR I,N1 Probe,Unknown,26.3279,0.206-999.9,,,,,,,,
E2,CERES BR I,N1 Probe,Unknown,26.0366,0.206-999.9,,,,,,,,
E3,CERES BR II,N1 Probe,Unknown,29.2621,0.053-999.9,,,,,,,,
E4,CERES BR II,N1 Probe,Unknown,29.337,0.053-999.9,,,,,,,,
E5,CERES BR III,N1 Probe,Unknown,34.6347,0.322-999.9,,,,,,,,
E6,CERES BR III,N1 Probe,Unknown,34.1796,0.322-999.9,,,,,,,,
E7,CERES BR I,N2 Probe,Unknown,28.2068,0.0564-999.9,,,,,,,,
E8,CERES BR I,N2 Probe,Unknown,28.2865,0.0564-999.9,,,,,,,,
E9,CERES BR II,N2 Probe,Unknown,31.8616,0.262-999.9,,,,,,,,
E10,CERES BR II,N2 Probe,Unknown,31.4914,0.262-999.9,,,,,,,,
E11,CERES BR III,N2 Probe,Unknown,35.1438,0.102-999.9,,,,,,,,
E12,CERES BR III,N2 Probe,Unknown,34.9995,0.102-999.9,,,,,,,,
G1,A1-0,N1 Probe,Unknown,Undetermined,,,,,,,,,
G2,CDC -5,N1 Probe,Unknown,30.3582,-999.9,,,,,,,,
G3,CDC -4,N1 Probe,Unknown,28.3461,-999.9,,,,,,,,
G4,CDC -3,N1 Probe,Unknown,25.1227,-999.9,,,,,,,,
G5,CDC -2,N1 Probe,Unknown,22.5049,-999.9,,,,,,,,
G6,NTC,N1 Probe,Unknown,Undetermined,,,,,,,,,
G7,A1-0,N2 Probe,Unknown,Undetermined,,,,,,,,,
G8,CDC -5,N2 Probe,Unknown,32.2972,-999.9,,,,,,,,
G9,CDC -4,N2 Probe,Unknown,29.4174,-999.9,,,,,,,,
G10,CDC -3,N2 Probe,Unknown,26.122,-999.9,,,,,,,,
G11,CDC -2,N2 Probe,Unknown,21.8701,-999.9,,,,,,,,
G12,NTC,N2 Probe,Unknown,Undetermined,,,,,,,,,
H1,B3-0,N1 Probe,Unknown,Undetermined,,,,,,,,,
H2,CERES -5,N1 Probe,Unknown,29.3149,-999.9,,,,,,,,
H3,CERES -4,N1 Probe,Unknown,26.0164,-999.9,,,,,,,,
H4,CERES -3,N1 Probe,Unknown,23.1288,-999.9,,,,,,,,
H5,CERES -2,N1 Probe,Unknown,19.4354,-999.9,,,,,,,,
H6,POS,N1 Probe,Unknown,20.0938,-999.9,,,,,,,,
H7,B3-0,N2 Probe,Unknown,Undetermined,,,,,,,,,
H8,CERES -5,N2 Probe,Unknown,30.9269,-999.9,,,,,,,,
H9,CERES -4,N2 Probe,Unknown,27.2738,-999.9,,,,,,,,
H10,CERES -3,N2 Probe,Unknown,24.8872,-999.9,,,,,,,,
H11,CERES -2,N2 Probe,Unknown,21.494,-999.9,,,,,,,,
H12,POS,N2 Probe,Unknown,19.9038,-999.9,,,,,,,,
