Document Name: 2021.05.18_CDCvCERES2_MYC.sds 
Plate Type: Standard Curve
User: INSTR-ADMIN

Document Information

Operator: Administrator
Run Date: Tuesday, May 18, 2021 11:16:02
Last Modified: Tuesday, May 18, 2021 12:27:24
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
G8,CDC -5,N2 Probe,Unknown,34.4312,-999.9,,,,,,,,
G9,CDC -4,N2 Probe,Unknown,30.819,-999.9,,,,,,,,
G10,CDC -3,N2 Probe,Unknown,27.1695,-999.9,,,,,,,,
G11,CDC -2,N2 Probe,Unknown,23.3385,-999.9,,,,,,,,
G12,NTC,N2 Probe,Unknown,Undetermined,,,,,,,,,
H1,BR-0,N1 Probe,Unknown,Undetermined,,,,,,,,,
H2,CERES -5,N1 Probe,Unknown,29.1914,-999.9,,,,,,,,
H3,CERES -4,N1 Probe,Unknown,26.3695,-999.9,,,,,,,,
H4,CERES -3,N1 Probe,Unknown,23.0763,-999.9,,,,,,,,
H5,CERES -2,N1 Probe,Unknown,20.2638,-999.9,,,,,,,,
H6,POS,N1 Probe,Unknown,20.5023,-999.9,,,,,,,,
H7,B3-0,N2 Probe,Unknown,Undetermined,,,,,,,,,
H8,CERES -5,N2 Probe,Unknown,31.645,-999.9,,,,,,,,
H9,CERES -4,N2 Probe,Unknown,28.0717,-999.9,,,,,,,,
H10,CERES -3,N2 Probe,Unknown,25.2898,-999.9,,,,,,,,
H11,CERES -2,N2 Probe,Unknown,22.4202,-999.9,,,,,,,,
H12,POS,N2 Probe,Unknown,21.271,-999.9,,,,,,,,
